TAID,Name,IUPAC Name,PubChem CID,SMILES,InChIKey,Toxicity Value,EPACategoryIndex,EPACategory,tox10,tox50,tox500,tox2000
TOX-2066,methomyl,methyl N-(methylcarbamoyloxy)ethanimidothioate,4109,CNC(=O)ON=C(C)SC,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,9.999753403,0,<10,1,1,1,1
TOX-2067,Levopromazine,"3-(2-methoxyphenothiazin-10-yl)-N,N,2-trimethylpropan-1-amine",3916,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,VRQVVMDWGGWHTJ-UHFFFAOYSA-N,100.0057842,2,50-500,0,0,1,1
TOX-2138,,4-aminophenol,403,Nc1ccc(O)cc1,PLIKAWJENQZMHA-UHFFFAOYSA-N,56.20103003,2,50-500,0,0,1,1
TOX-2153,periciazine,10-[3-(4-hydroxypiperidin-1-yl)propyl]phenothiazine-2-carbonitrile,4747,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,LUALIOATIOESLM-UHFFFAOYSA-N,99.99945274,2,50-500,0,0,1,1
TOX-2199,Isoreserpin,"methyl 6,18-dimethoxy-17-(3,4,5-trimethoxybenzoyl)oxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",5052,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,QEVHRUUCFGRFIF-UHFFFAOYSA-N,100.0019714,2,50-500,0,0,1,1
TOX-2215,Fenchlorphos,"dimethoxy-sulfanylidene-(2,4,5-trichlorophenoxy)-lambda5-phosphane",9298,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,JHJOOSLFWRRSGU-UHFFFAOYSA-N,79.98780907,2,50-500,0,0,1,1
TOX-2264,Benzenethiol,benzenethiol,7969,Sc1ccccc1,RMVRSNDYEFQCLF-UHFFFAOYSA-N,23.99978218,1,10-50,0,1,1,1
TOX-2435,,"pyridine-3,4-diamine",5918,Nc1ccncc1N,OYTKINVCDFNREN-UHFFFAOYSA-N,74.99862551,2,50-500,0,0,1,1
TOX-2470,benzocaine,ethyl 4-aminobenzoate,2337,CCOC(=O)c1ccc(N)cc1,BLFLLBZGZJTVJG-UHFFFAOYSA-N,55.99932203,2,50-500,0,0,1,1
TOX-2504,busulfan,4-methylsulfonyloxybutyl methanesulfonate,2478,CS(=O)(=O)OCCCCOS(C)(=O)=O,COVZYZSDYWQREU-UHFFFAOYSA-N,56.19863094,2,50-500,0,0,1,1
TOX-2579,,pyridin-4-amine,1727,Nc1ccncc1,NUKYPUAOHBNCPY-UHFFFAOYSA-N,2.369823733,0,<10,1,1,1,1
TOX-2592,dibucaine,2-butoxy-N-[2-(diethylamino)ethyl]quinoline-4-carboxamide,3025,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,PUFQVTATUTYEAL-UHFFFAOYSA-N,42.00354616,1,10-50,0,1,1,1
TOX-2877,Niclofolan,4-chloro-2-(5-chloro-2-hydroxy-3-nitrophenyl)-6-nitrophenol,5284586,O=[N+]([O-])c1cc(Cl)cc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1O,XULACPAEUUWKFX-UHFFFAOYSA-N,12.99984932,1,10-50,0,1,1,1
TOX-2926,perphenazine,2-[4-[3-(2-chlorophenothiazin-10-yl)propyl]piperazin-1-yl]ethanol,4748,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,RGCVKNLCSQQDEP-UHFFFAOYSA-N,32.00166349,1,10-50,0,1,1,1
TOX-3156,thiram,"dimethylcarbamothioylsulfanyl N,N-dimethylcarbamodithioate",5455,CN(C)C(=S)SSC(=S)N(C)C,KUAZQDVKQLNFPE-UHFFFAOYSA-N,299.9451012,2,50-500,0,0,1,1
TOX-3542,cis-Anethol,1-methoxy-4-prop-1-enylbenzene,7703,CC=Cc1ccc(OC)cc1,RUVINXPYWBROJD-UHFFFAOYSA-N,315.9893392,2,50-500,0,0,1,1
TOX-3942,Mit-C,"(11-amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl)methyl carbamate",351727,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,NWIBSHFKIJFRCO-UHFFFAOYSA-N,7.499955133,0,<10,1,1,1,1
TOX-3948,,3-(1-methylpyrrolidin-2-yl)pyridine,942,CN1CCCC1c1cccnc1,SNICXCGAKADSCV-UHFFFAOYSA-N,17.79934169,1,10-50,0,1,1,1
TOX-4004,CARBARYL,naphthalen-1-yl N-methylcarbamate,6129,CNC(=O)Oc1cccc2ccccc12,CVXBEEMKQHEXEN-UHFFFAOYSA-N,55.99860853,2,50-500,0,0,1,1
TOX-4101,,carbonic acid,767,O=C(O)O,BVKZGUZCCUSVTD-UHFFFAOYSA-N,100.0016123,2,50-500,0,0,1,1
TOX-4113,TRICHLORFON,"2,2,2-trichloro-1-dimethoxyphosphorylethanol",5853,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,NFACJZMKEDPNKN-UHFFFAOYSA-N,36.99899391,1,10-50,0,1,1,1
TOX-4130,,"N-(1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl)acetamide",2833,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,IAKHMKGGTNLKSZ-UHFFFAOYSA-N,31.59659828,1,10-50,0,1,1,1
TOX-4203,,"N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",3981,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,VAYOSLLFUXYJDT-UHFFFAOYSA-N,1.799777394,0,<10,1,1,1,1
TOX-4226,Triethylenemelamine,"2,4,6-tris(aziridin-1-yl)-1,3,5-triazine",5799,C1CN1c1nc(N2CC2)nc(N2CC2)n1,IUCJMVBFZDHPDX-UHFFFAOYSA-N,2.869901633,0,<10,1,1,1,1
TOX-4236,Tremorine,1-(4-pyrrolidin-1-ylbut-2-ynyl)pyrrolidine,5534,C(#CCN1CCCC1)CN1CCCC1,JSUAJTLKVREZHV-UHFFFAOYSA-N,99.99687987,2,50-500,0,0,1,1
TOX-4247,APHOLATE,"2,2,4,4,6,6-hexakis(aziridin-1-yl)-1,3,5-triaza-2lambda5,4lambda5,6lambda5-triphosphacyclohexa-1,3,5-triene",5845,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,PXZAWHSJYIECNQ-UHFFFAOYSA-N,245.9942835,2,50-500,0,0,1,1
TOX-4253,,"(3,5-dimethyl-4-methylsulfanylphenoxy)-diethoxy-sulfanylidene-lambda5-phosphane",66126,CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,RYYJMLJORHNGST-UHFFFAOYSA-N,4.199790273,0,<10,1,1,1,1
TOX-4256,Famphur,"4-dimethoxyphosphinothioyloxy-N,N-dimethylbenzenesulfonamide",5859,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,JISACBWYRJHSMG-UHFFFAOYSA-N,1.799734439,0,<10,1,1,1,1
TOX-4286,,"(3,5-dimethyl-4-methylsulfanylphenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane",66128,COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,QJRJJAATXDHPGQ-UHFFFAOYSA-N,10.00129976,1,10-50,0,1,1,1
TOX-4287,fenthion,dimethoxy-(3-methyl-4-methylsulfanylphenoxy)-sulfanylidene-lambda5-phosphane,3346,COP(=S)(OC)Oc1ccc(SC)c(C)c1,PNVJTZOFSHSLTO-UHFFFAOYSA-N,1.299836528,0,<10,1,1,1,1
TOX-4304,parathion,diethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,991,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,1.329977167,0,<10,1,1,1,1
TOX-4308,COUMAPHOS,3-chloro-7-diethoxyphosphinothioyloxy-4-methylchromen-2-one,2871,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,BXNANOICGRISHX-UHFFFAOYSA-N,1.780142293,0,<10,1,1,1,1
TOX-4321,,10-phenoxarsinin-10-yloxyphenoxarsinine,6017,c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,VCRZAKVGPJFABU-UHFFFAOYSA-N,23.99842302,1,10-50,0,1,1,1
TOX-4351,dimethoate,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide,3082,CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV-UHFFFAOYSA-N,6.60106516,0,<10,1,1,1,1
TOX-4374,dichlorvos,"2,2-dichloroethenyl dimethyl phosphate",3039,COP(=O)(OC)OC=C(Cl)Cl,OEBRKCOSUFCWJD-UHFFFAOYSA-N,11.99967417,1,10-50,0,1,1,1
TOX-4375,FLUOROACETIC ACID,2-fluoroacetic acid,5237,O=C(O)CF,QEWYKACRFQMRMB-UHFFFAOYSA-N,2.369939261,0,<10,1,1,1,1
TOX-4380,m-Cumenyl methylcarbamate,(3-propan-2-ylphenyl) N-methylcarbamate,6143,CNC(=O)Oc1cccc(C(C)C)c1,GYKXQTKSWLAUIT-UHFFFAOYSA-N,3.199900644,0,<10,1,1,1,1
TOX-4407,METHYL METHANESULFONATE,methyl methanesulfonate,4156,COS(C)(=O)=O,MBABOKRGFJTBAE-UHFFFAOYSA-N,56.19795888,2,50-500,0,0,1,1
TOX-4409,,"4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de]pyrrolo[2,3-h]quinolin-14-one",5304,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,QMGVPVSNSZLJIA-UHFFFAOYSA-N,15.99909097,1,10-50,0,1,1,1
TOX-4459,P-TOLUENESULFONAMIDE,4-methylbenzenesulfonamide,6269,Cc1ccc(S(N)(=O)=O)cc1,LMYRWZFENFIFIT-UHFFFAOYSA-N,74.99956193,2,50-500,0,0,1,1
TOX-4461,,1-(4-aminophenyl)propan-1-one,6270,CCC(=O)c1ccc(N)cc1,FSWXOANXOQPCFF-UHFFFAOYSA-N,132.9973256,2,50-500,0,0,1,1
TOX-4466,,butan-1-ol,263,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,2499.898815,4,>2000,0,0,0,0
TOX-4480,PERTHANE,"1-[2,2-dichloro-1-(4-ethylphenyl)ethyl]-4-ethylbenzene",6295,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,QFMDFTQOJHFVNR-UHFFFAOYSA-N,9001.054458,4,>2000,0,0,0,0
TOX-4548,PROBARBITAL,"5-ethyl-5-propan-2-yl-1,3-diazinane-2,4,6-trione",6455,CCC1(C(C)C)C(=O)NC(=O)NC1=O,HHLXJTDUHFBYAU-UHFFFAOYSA-N,23.99975785,1,10-50,0,1,1,1
TOX-4640,Thiosemicarbazide,aminothiourea,2723789,NNC(N)=S,BRWIZMBXBAOCCF-UHFFFAOYSA-N,9.100099843,0,<10,1,1,1,1
TOX-4658,Phenaglycodol,"2-(4-chlorophenyl)-3-methylbutane-2,3-diol",6617,CC(C)(O)C(C)(O)c1ccc(Cl)cc1,HTYIXCKSEQQCJO-UHFFFAOYSA-N,31.99970193,1,10-50,0,1,1,1
TOX-4797,,"10-methylacridin-10-ium-3,6-diamine",2016,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,XSIOKTWDEOJMGG-UHFFFAOYSA-O,56.19824605,2,50-500,0,0,1,1
TOX-4799,Azinphos-methyl,"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",2268,COP(=S)(OC)SCn1nnc2ccccc2c1=O,CJJOSEISRRTUQB-UHFFFAOYSA-N,8.499142857,0,<10,1,1,1,1
TOX-4805,,"3,4,5-trimethoxybenzaldehyde",6858,COc1cc(C=O)cc(OC)c1OC,OPHQOIGEOHXOGX-UHFFFAOYSA-N,421.9956984,2,50-500,0,0,1,1
TOX-4826,PYROLAN,"(5-methyl-2-phenylpyrazol-3-yl) N,N-dimethylcarbamate",6888,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,GEDIWDLJKRKBFT-UHFFFAOYSA-N,38.99968197,1,10-50,0,1,1,1
TOX-4833,,3-chloro-2-methylaniline,6894,Cc1c(N)cccc1Cl,ZUVPLKVDZNDZCM-UHFFFAOYSA-N,236.9983265,2,50-500,0,0,1,1
TOX-4865,,2-aminobenzamide,6942,NC(=O)c1ccccc1N,PXBFMLJZNCDSMP-UHFFFAOYSA-N,999.970621,3,500-2000,0,0,0,1
TOX-4869,,2-nitroaniline,6946,Nc1ccccc1[N+](=O)[O-],DPJCXCZTLWNFOH-UHFFFAOYSA-N,749.9674208,3,500-2000,0,0,0,1
TOX-4872,DINOSEB,"2-butan-2-yl-4,6-dinitrophenol",6950,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,OWZPCEFYPSAJFR-UHFFFAOYSA-N,7.099852221,0,<10,1,1,1,1
TOX-4887,,"1,2,4-trichloro-5-nitrobenzene",6983,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,IBRBMZRLVYKVRF-UHFFFAOYSA-N,99.97968601,2,50-500,0,0,1,1
TOX-4897,O-ANISIDINE,2-methoxyaniline,7000,COc1ccccc1N,VMPITZXILSNTON-UHFFFAOYSA-N,421.9828667,2,50-500,0,0,1,1
TOX-4913,,"3-(3,4,5-trimethoxyphenyl)prop-2-enoic acid",7021,COc1cc(C=CC(=O)O)cc(OC)c1OC,YTFVRYKNXDADBI-UHFFFAOYSA-N,422.0017709,2,50-500,0,0,1,1
TOX-4921,Michler's ketone,bis[4-(dimethylamino)phenyl]methanone,7031,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,VVBLNCFGVYUYGU-UHFFFAOYSA-N,99.99627371,2,50-500,0,0,1,1
TOX-4926,,"1,3-diisocyanato-2-methylbenzene",7040,Cc1c(N=C=O)cccc1N=C=O,RUELTTOHQODFPA-UHFFFAOYSA-N,100.0005743,2,50-500,0,0,1,1
TOX-4992,Quinoline-2-carboxylic acid,quinoline-2-carboxylic acid,7124,O=C(O)c1ccc2ccccc2n1,LOAUVZALPPNFOQ-UHFFFAOYSA-N,99.9994225,2,50-500,0,0,1,1
TOX-5081,,1-fluoro-2-methylbenzene,7241,Cc1ccccc1F,MMZYCBHLNZVROM-UHFFFAOYSA-N,99.99909192,2,50-500,0,0,1,1
TOX-5083,O-PHENYLENEDIAMINE,"benzene-1,2-diamine",7243,Nc1ccccc1N,GEYOCULIXLDCMW-UHFFFAOYSA-N,132.9950807,2,50-500,0,0,1,1
TOX-5087,,"3,4-dimethylaniline",7248,Cc1ccc(N)cc1C,DOLQYFPDPKPQSS-UHFFFAOYSA-N,5.599861362,0,<10,1,1,1,1
TOX-5089,,4-chloro-2-methylaniline,7251,Cc1cc(Cl)ccc1N,CXNVOWPRHWWCQR-UHFFFAOYSA-N,74.99947034,2,50-500,0,0,1,1
TOX-5093,,"3,4-dichloroaniline",7257,Nc1ccc(Cl)c(Cl)c1,SDYWXFYBZPNOFX-UHFFFAOYSA-N,236.9868351,2,50-500,0,0,1,1
TOX-5119,,"3-chloropropane-1,2-diol",7290,OCC(O)CCl,SSZWWUDQMAHNAQ-UHFFFAOYSA-N,23.70000001,1,10-50,0,1,1,1
TOX-5139,,4-chloro-3-nitrobenzoic acid,7320,O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,DFXQXFGFOLXAPO-UHFFFAOYSA-N,74.99813964,2,50-500,0,0,1,1
TOX-5145,DICHLOFENTHION,"(2,4-dichlorophenoxy)-diethoxy-sulfanylidene-lambda5-phosphane",7328,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,WGOWCPGHOCIHBW-UHFFFAOYSA-N,13.99964463,1,10-50,0,1,1,1
TOX-5182,BENZENESULFONIC ACID,benzenesulfonic acid,7371,O=S(=O)(O)c1ccccc1,SRSXLGNVWSONIS-UHFFFAOYSA-N,75.00094824,2,50-500,0,0,1,1
TOX-5211,picolinic acid,pyridine-2-carboxylic acid,1018,O=C(O)c1ccccn1,SIOXPEMLGUPBBT-UHFFFAOYSA-N,177.998554,2,50-500,0,0,1,1
TOX-5215,,3-aminobenzoic acid,7419,Nc1cccc(C(=O)O)c1,XFDUHJPVQKIXHO-UHFFFAOYSA-N,750.0109381,3,500-2000,0,0,0,1
TOX-5249,,1-(4-aminophenyl)ethanone,7468,CC(=O)c1ccc(N)cc1,GPRYKVSEZCQIHD-UHFFFAOYSA-N,132.9940961,2,50-500,0,0,1,1
TOX-5256,,4-nitroaniline,7475,Nc1ccc([N+](=O)[O-])cc1,TYMLOMAKGOJONV-UHFFFAOYSA-N,74.99674208,2,50-500,0,0,1,1
TOX-5267,,"1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine",7490,CN(C)c1ccc(N(C)C)cc1,CJAOGUFAAWZWNI-UHFFFAOYSA-N,23.69971144,1,10-50,0,1,1,1
TOX-5275,,4-ethenylpyridine,7502,C=Cc1ccncc1,KFDVPJUYSDEJTH-UHFFFAOYSA-N,99.99999993,2,50-500,0,0,1,1
TOX-5361,,"2,5-dimethoxyaniline",7613,COc1ccc(OC)c(N)c1,NAZDVUBIEPVUKE-UHFFFAOYSA-N,99.99934726,2,50-500,0,0,1,1
TOX-5521,,4-chloroaniline,7812,Nc1ccc(Cl)cc1,QSNSCYSYFYORTR-UHFFFAOYSA-N,99.99686451,2,50-500,0,0,1,1
TOX-5522,p-Toluidine,4-methylaniline,7813,Cc1ccc(N)cc1,RZXMPPFPUUCRFN-UHFFFAOYSA-N,41.9976483,1,10-50,0,1,1,1
TOX-5574,TEPP,diethoxyphosphoryl diethyl phosphate,7873,CCOP(=O)(OCC)OP(=O)(OCC)OCC,IDCBOTIENDVCBQ-UHFFFAOYSA-N,1.300004479,0,<10,1,1,1,1
TOX-5615,Pyrazoxone,diethyl (5-methyl-1H-pyrazol-3-yl) phosphate,7925,CCOP(=O)(OCC)Oc1cc(C)[nH]n1,CDCTYRNLXFEDHC-UHFFFAOYSA-N,39.99965841,1,10-50,0,1,1,1
TOX-5622,m-Toluidine,3-methylaniline,7934,Cc1cccc(N)c1,JJYPMNFTHPTTDI-UHFFFAOYSA-N,241.9864494,2,50-500,0,0,1,1
TOX-5623,,"cyclohexane-1,3-diamine",18814,Nc1cccc(N)c1,GEQHKFFSPGPGLN-UHFFFAOYSA-N,593.419699,3,500-2000,0,0,0,1
TOX-5647,,4-methylpyridine,7963,Cc1ccncc1,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,422.004531,2,50-500,0,0,1,1
TOX-5652,,3-methylpyridine,7970,Cc1cccnc1,ITQTTZVARXURQS-UHFFFAOYSA-N,1000.010737,3,500-2000,0,0,0,1
TOX-5653,,pyridin-3-ol,7971,Oc1cccnc1,GRFNBEZIAWKNCO-UHFFFAOYSA-N,749.9921141,3,500-2000,0,0,0,1
TOX-5658,,2-chloropyridine,7977,Clc1ccccn1,OKDGRDCXVWSXDC-UHFFFAOYSA-N,999.9383522,3,500-2000,0,0,0,1
TOX-5729,,"but-2-yne-1,4-diol",8066,OCC#CCO,DLDJFQGPPSQZKI-UHFFFAOYSA-N,75.00000007,2,50-500,0,0,1,1
TOX-5841,benzquinamide,"[3-(diethylcarbamoyl)-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizin-2-yl] acetate",2342,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,JSZILQVIPPROJI-UHFFFAOYSA-N,99.99826961,2,50-500,0,0,1,1
TOX-5843,propoxur,(2-propan-2-yloxyphenyl) N-methylcarbamate,4944,CNC(=O)Oc1ccccc1OC(C)C,ISRUGXGCCGIOQO-UHFFFAOYSA-N,3.799909193,0,<10,1,1,1,1
TOX-5853,endosulfan,"1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide",3224,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,RDYMFSUJUZBWLH-UHFFFAOYSA-N,34.99750569,1,10-50,0,1,1,1
TOX-5868,FENSULFOTHION,diethoxy-(4-methylsulfinylphenoxy)-sulfanylidene-lambda5-phosphane,8292,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,XDNBJTQLKCIJBV-UHFFFAOYSA-N,0.240030354,0,<10,1,1,1,1
TOX-5878,,[(2-methyl-2-methylsulfanylpropylidene)amino] N-methylcarbamate,2086,CNC(=O)ON=CC(C)(C)SC,QGLZXHRNAYXIBU-UHFFFAOYSA-N,0.750007883,0,<10,1,1,1,1
TOX-5928,anthranilic acid,2-aminobenzoic acid,227,Nc1ccccc1C(=O)O,RWZYAGGXGHYGMB-UHFFFAOYSA-N,750.0109381,3,500-2000,0,0,0,1
TOX-5933,,"1-chloro-2,4-dimethoxy-5-nitrobenzene",8383,COc1cc(OC)c([N+](=O)[O-])cc1Cl,MEIDXJUMYYOXHN-UHFFFAOYSA-N,99.99632377,2,50-500,0,0,1,1
TOX-5935,,4-methyl-3-nitroaniline,8390,Cc1ccc(N)cc1[N+](=O)[O-],GDIIPKWHAQGCJF-UHFFFAOYSA-N,3.199936909,0,<10,1,1,1,1
TOX-5938,ISOLAN,"(5-methyl-2-propan-2-ylpyrazol-3-yl) N,N-dimethylcarbamate",8393,Cc1cc(OC(=O)N(C)C)n(C(C)C)n1,RNNBHZYEKNHLKT-UHFFFAOYSA-N,8.599796459,0,<10,1,1,1,1
TOX-5989,,"N,N'-dimethylethanedithioamide",1899472,CNC(=S)C(=S)NC,MQLIZYQZJMPNFI-UHFFFAOYSA-N,7.502225882,0,<10,1,1,1,1
TOX-6037,,dimethyl 3-dimethoxyphosphoryloxypent-2-enedioate,31199,COC(=O)C=C(CC(=O)OC)OP(=O)(OC)OC,BZSSHIWHSJYWAD-UHFFFAOYSA-N,0.949983167,0,<10,1,1,1,1
TOX-6038,FENITROTHION,dimethoxy-(3-methyl-4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,31200,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,11.00007935,1,10-50,0,1,1,1
TOX-6207,,"naphthalene-1,4-dione",8530,O=C1C=CC(=O)c2ccccc21,FRASJONUBLZVQX-UHFFFAOYSA-N,132.9949542,2,50-500,0,0,1,1
TOX-6349,p-Dimethylaminodiazobenzenesulfonic acid,[4-(dimethylamino)phenyl]iminosulfamic acid,8808,CN(C)c1ccc(N=NS(=O)(=O)O)cc1,FLTYACUMGDVPLP-UHFFFAOYSA-N,17.9999215,1,10-50,0,1,1,1
TOX-6375,,[4-(dimethylamino)-4-oxobut-2-en-2-yl] dimethyl phosphate,8854,COP(=O)(OC)OC(C)=CC(=O)N(C)C,VEENJGZXVHKXNB-UHFFFAOYSA-N,0.999991568,0,<10,1,1,1,1
TOX-6414,SODIUM CYANIDE,sodium;cyanide,8929,N#C[Na],MNWBNISUBARLIT-UHFFFAOYSA-N,3.999918382,0,<10,1,1,1,1
TOX-6482,SCHRADAN,N-[bis(dimethylamino)phosphoryloxy-(dimethylamino)phosphoryl]-N-methylmethanamine,9037,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,SZKKRCSOSQAJDE-UHFFFAOYSA-N,10.99988471,1,10-50,0,1,1,1
TOX-6569,,"1,3,5-triazine",9262,c1ncncn1,JIHQDMXYYFUGFV-UHFFFAOYSA-N,100.0024668,2,50-500,0,0,1,1
TOX-6576,ISOBENZAN,"1,3,5,7,8,9,10,10-octachloro-4-oxatricyclo[5.2.1.02,6]dec-8-ene",9271,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,LRWHHSXTGZSMSN-UHFFFAOYSA-N,0.999868853,0,<10,1,1,1,1
