SMILES,EPACategoryIndex,tox10,tox50,tox500,tox2000,tox,logtox
Cc1nc2ccccc2c(=O)n1-c1ccccc1F,2,0,0,1,1,389.9938645,5.96613100694866
COC(=O)c1cscc1S(=O)(=O)N/N=C/c1ccccc1,3,0,0,0,1,500.0262032,6.214660503449024
c1ccc2c(c1)CCCC1NCCNC21,3,0,0,0,1,749.9962929,6.6200682637181405
O=C1OC(=O)C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4,0,0,0,0,2399.805843,7.783143114313557
O=c1c(-c2ccccc2)cc(-c2ccccc2)nn1Cc1cccnc1,4,0,0,0,0,3000.017679,8.006373460632883
Clc1ccc2c(c1)C1OC(CN3CCCC3)OC1c1ccccc1O2,3,0,0,0,1,932.9035296,6.838301797430655
CCCCCCCCCCOc1ccc(C(=N)N(C(C)C)C(C)C)c2ccccc12,3,0,0,0,1,1088.878012,6.992903098292961
C=CCNc1nc(Cl)c(SC)c(N2CCN(C)CC2)n1,2,0,0,1,1,199.9949023,5.2982918777232
CN(CC(=O)NC(=O)C(N)Cc1ccccc1)c1ccc(Cl)cc1C(=O)c1ccccc1,3,0,0,0,1,999.9155428,6.9076708182154265
CCN(CC)CCCC(C)Nc1nc(C=Cc2ccc([N+](=O)[O-])cc2)nc2cc(Cl)ccc12,3,0,0,0,1,999.9978634,6.907753142379854
O=C(O)NN1C(CCCOc2ccc(F)cc2)CC(O)C2CCCCC21,3,0,0,0,1,749.9324566,6.619983144608236
CC1CCc2cc(-c3ccccc3)ccc21,3,0,0,0,1,1599.969276,7.377739705543502
COc1ccc(OC)c(N=Cc2ccncc2)c1,3,0,0,0,1,999.9669799,6.907722258336961
O=C(O)Cc1ccccc1,4,0,0,0,0,2249.999998,7.718685494309577
Cc1ccc2nccc(N/C(=N\c3nccs3)NC3CCCCC3)c2c1,3,0,0,0,1,999.9835834,6.907738862247383
COCC(=O)Nc1cc(Sc2ccccc2)ccc1NC(=NC(=O)OC)NC(=O)OC,4,0,0,0,0,10000.33596,9.210373967411849
CC(C)(C)N/C(=N/c1nccs1)Nc1cccc2c(O)cccc12,3,0,0,0,1,999.8472614,6.907602528716409
Cc1cc(OCCCO)n(Cc2ccccc2)n1,3,0,0,0,1,923.9624863,6.828671471575088
O=C1C2=C(CCCC2)CC1CN1CCOCC1,3,0,0,0,1,615.9816768,6.423217217636569
O=C(O)CCC(=O)O,2,0,0,1,1,312.0052843,5.74302012452503
Nc1ccc(Br)cc1,2,0,0,1,1,288.9915999,5.66639762160004
Cc1n[nH]c(=O)cc1-c1ccc(N)cc1,3,0,0,0,1,737.9669931,6.603899098803541
CN(c1cccnc1)S(=O)(=O)c1nn(C)cc1C(=O)O,3,0,0,0,1,749.9797503,6.620046206565861
Cc1ncc(COP(=O)(O)O)c(CN)c1O,4,0,0,0,0,5799.883147,8.66559304926259
COc1ccc(OC)c(C(O)C(C)NC(C)C)c1,3,0,0,0,1,593.2911952,6.385685332770187
COC(=O)C(F)C(F)(F)F,4,0,0,0,0,10000.2499,9.210365361663937
CCCCOc1ccc(C(=O)OC(C)OC(=O)C(C)(C)C)nc1,3,0,0,0,1,800.0272126,6.684645742839405
Cc1cc(CC(=O)O)c(C)n1-c1cccc(C(F)(F)F)c1,4,0,0,0,0,3599.92734,8.188668940907181
CCN(CC)C(=O)Cn1c(-c2ccccc2)cc2ccccc21,3,0,0,0,1,1999.941254,7.6008730861106875
CC(O)C(=O)O,4,0,0,0,0,3199.680389,8.070806205362135
CCOC1c2ccccc2N(C)S(=O)(=O)c2ccccc21,3,0,0,0,1,750.0420263,6.620129240027117
C#CC(C)(CC)OC(C)=O,3,0,0,0,1,899.9871604,6.802380497000325
CC(=O)NCCCOc1cccc(C(C)N2CCCC2)c1,4,0,0,0,0,2099.94938,7.649668518659086
CNC(=O)C1c2ccccc2-c2ccccc2CS1(=O)=O,3,0,0,0,1,1000.109501,6.90786477398734
CC1(C)COC(C=Cc2ccco2)=N1,2,0,0,1,1,212.0000001,5.3565862751437106
CC(=O)Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N,2,0,0,1,1,236.9959067,5.468042869677964
CC1=NCCS1,4,0,0,0,0,3299.869529,8.10163821000631
O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,2,0,0,1,1,56.49916991,4.034225946186062
COP(=O)(OC)Oc1cc(-c2ccccc2)on1,2,0,0,1,1,139.9984397,4.941631277547199
COc1cc(F)c(C(=O)CCN(C)C)cc1OC,3,0,0,0,1,655.9768729,6.486125533597017
CCN(CC)CCCNc1c([N+](=O)[O-])sc2ccccc12,3,0,0,0,1,799.9505552,6.684549919757858
CC(=O)Nc1nc(C)co1,3,0,0,0,1,1599.977168,7.377744638126055
O=C(CCNC(=O)COc1ccc(Cl)cc1)NCCS,4,0,0,0,0,4999.842178,8.517161626518071
CCN1CCOCC1,3,0,0,0,1,1199.937486,7.0900247394191
O=C(Cc1ccccc1C(=O)O)c1cccc(C(F)(F)F)c1,3,0,0,0,1,1699.972427,7.438367310501007
CC(C)(SCN1CCNCC1)C(=O)O,3,0,0,0,1,979.9910235,6.88754341192879
N#Cc1cc(=O)c2cc(Br)ccc2o1,2,0,0,1,1,99.99960001,4.605166186080091
CCCCOc1c(OC)cc(C(=O)NCC(O)CN(C)c2ccc(F)cc2)cc1OC,3,0,0,0,1,1369.974775,7.222547606243901
CC(CCc1ccc2c(c1)OCO2)NN,2,0,0,1,1,113.9994526,4.736193646628581
O=C(CCc1c(O)c2ccccc2oc1=O)c1ccccc1,4,0,0,0,0,2499.949035,7.8240256246484945
Cc1cccc(C(N)=O)c1OC(C)C,4,0,0,0,0,2999.906858,8.006336519834935
CCCCCCCCCP(=O)(Oc1ccccc1)Oc1ccccc1,3,0,0,0,1,999.9056682,6.907660942732613
CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1(C)C,2,0,0,1,1,193.9624254,5.267664456799102
Cc1nn(C)c2nc(Cc3ccccc3)c3c(c12)CCCC3,3,0,0,0,1,1000.006863,6.907762141958587
CCOC(F)=C(C(F)(F)F)C(F)(F)F,2,0,0,1,1,163.9992745,5.099862004033926
COC(=O)C1=C(C)NC(C)=C(C(=O)NOC(C)C)C1c1cccc([N+](=O)[O-])c1,3,0,0,0,1,999.979457,6.907734735771127
CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,0,1,1,1,1,4.500571464,1.5042043807134726
COC(=O)c1cnn(C)c1-n1cnc2ccccc2c1=O,3,0,0,0,1,999.9824119,6.907737690727465
CC(C)OP(=S)(Oc1ccc([N+](=O)[O-])cc1)OC(C)C,3,0,0,0,1,537.0016815,6.286001225788879
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,2,0,0,1,1,100.0016643,4.6051868288495985
O=c1n(-c2ccccc2)c2cc(Cl)ccc2n1C1CCCC1,3,0,0,0,1,1000.000001,6.907755279982137
O=S1(=O)N=CNc2cc(Cl)c(Cl)cc21,4,0,0,0,0,2159.965591,7.677847570458733
CCc1cc2c(s1)Nc1ccc(F)cc1N=C2NCCCN1CCN(C)CC1,2,0,0,1,1,399.9452126,5.99132756922694
Cc1cc(C)n(-c2ccc(NN)nn2)n1,2,0,0,1,1,199.9931452,5.29828309196067
C#CC1(O)c2ccccc2C=Cc2ncccc21,4,0,0,0,0,3999.828525,8.294006770433137
O=c1[nH]c2ccc(Cl)cc2n1-c1cccc(Cl)c1,3,0,0,0,1,999.9785043,6.907733783051102
CCOC1CCC(=O)N1S(=O)(=O)c1ccc(OCc2ccccc2)cc1,3,0,0,0,1,999.8774784,6.907632749875753
CN(C)CC1C2CCC(CC2)C1c1cccc(Cl)c1,2,0,0,1,1,244.914591,5.5009095416035105
CN1CC2c3ccccc3C3(C)CC2(C1)c1ccccc13,2,0,0,1,1,300.005447,5.703800631158037
COc1ccc(Nc2ccc(OC)cc2)cc1,4,0,0,0,0,2499.901867,7.824006756885865
CCc1occc(=O)c1O,3,0,0,0,1,780.0111326,6.659308192145888
CC(=O)c1ccc([N+](=O)[O-])o1,2,0,0,1,1,400.0025785,5.991470993337205
Cc1ccccc1-c1nc2c(N)nc(N)nc2nc1N,4,0,0,0,0,5070.886173,8.531270868885626
CCN(CC)CCNC(=O)CSC1Cc2cc(Cl)ccc2Sc2ccccc21,2,0,0,1,1,365.9512062,5.902500008120503
O=C1c2ccccc2-c2ccc(NC(=O)N(O)C3CCOP(=O)(N(CCCl)CCCl)N3)cc21,3,0,0,0,1,999.9649351,6.907720213467349
Cc1nc(N)sc1S(=O)(=O)c1sc(N)nc1C,4,0,0,0,0,10000.17219,9.210357590827938
CCCC(C)(CCCCCCCCC(C)(CCC)C(=O)O)C(=O)O,3,0,0,0,1,999.9416101,6.907696887377381
O=S1(=O)CCC(NC(=S)S)C1,3,0,0,0,1,1249.804811,7.130742666903479
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,2,0,0,1,1,199.9812618,5.298223671158761
CCC(C)C(CN(C)C)c1ccc(N)cc1,2,0,0,1,1,215.9901976,5.375233025172913
CCNC(=O)N(C)OC1CCOP(=O)(N(CCCl)CCCl)N1,3,0,0,0,1,999.976141,6.907731419697506
O=C(O)COc1ccc(C(=O)c2cc3ccccc3s2)c(Cl)c1Cl,3,0,0,0,1,999.9055708,6.907660845323419
CCCOc1ccc(C(=N)NCCN(CC)CC)cc1,3,0,0,0,1,1275.87584,7.151388155095152
CCCCCCCC[N+]1(CC)CCCCC1,2,0,0,1,1,209.9925803,5.3470721981885205
CC(N)C(C)(C)C,4,0,0,0,0,2039.939521,7.620675439830166
CCOC(=O)c1c(CN)n(CC)c2c(Cl)c(Cl)c(Cl)c(Cl)c12,3,0,0,0,1,750.0195264,6.620099241391446
CC(=O)Nc1ccccc1C(N)=O,4,0,0,0,0,2024.988634,7.613319366685381
COc1ccc(-c2cnnc(SC)n2)cc1,2,0,0,1,1,299.9922844,5.703756755658804
Nc1ccc(OCCCCCOc2ccc3ccccc3c2)cc1,4,0,0,0,0,3999.751108,8.293987415166097
Nc1ccc(OC(F)(F)C(F)F)c(N)c1,3,0,0,0,1,1070.01432,6.975427310543968
CC=CC(C)OC,3,0,0,0,1,914.9908643,6.818914080854093
Cc1nc(NC(=O)Nc2ccc(Cl)cc2)oc1C,3,0,0,0,1,1599.939781,7.377721270644588
O=C(O)c1cccn(Cc2ccccc2Br)c1=O,3,0,0,0,1,1349.995618,7.2078566255012815
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,3,0,0,0,1,999.9642009,6.907719479241334
Cc1ccc(CNC(N)=NN)cc1,3,0,0,0,1,1499.924259,7.313169891815437
COC1CN(C(=O)c2cc(-c3ccccc3)c(=O)n3ncc4ccsc4c23)C1,4,0,0,0,0,4999.335806,8.517060343792382
NS(=O)(=O)c1ccc(N2C(=O)CN(c3ccccc3)C2=O)cc1,4,0,0,0,0,4999.200244,8.51703322742268
CCC(=O)c1ccc(OC)c(OC)c1,3,0,0,0,1,1520.000001,7.3264656144982165
O=C1Nc2ccc(Br)cc2C1=O,4,0,0,0,0,3430.015172,8.140319963473818
CC1=CC(=C(C#N)C#N)CC(C)(C)C1,4,0,0,0,0,6499.720812,8.779514502961264
OCc1cccc(Oc2ccccc2)c1,4,0,0,0,0,2039.928682,7.620670126423232
COc1ccc2oc(N)nc2c1,3,0,0,0,1,1089.97344,6.993908607953832
COc1cc(C(=O)Nc2ccc(C(C)=NOCCN3CCOCC3)cc2)cc(OC)c1OC,3,0,0,0,1,1599.905581,7.377699894611603
C[N+](C)([O-])CCCN1c2ccccc2S(=O)(=O)c2cn[nH]c(=O)c21,3,0,0,0,1,1200.000001,7.090076836609425
CCCCCOc1ccc(C(=N)N(C(C)C)C(C)C)c2ccccc12,2,0,0,1,1,499.9838475,6.214575792900374
CN1C(=O)N(C)C2=NNC(=O)N(O)C2(c2c[nH]c3ccccc23)C1=O,2,0,0,1,1,199.9970789,5.298302760941375
COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,2,0,0,1,1,450.0274906,6.109308671120656
Cn1ccnc1SCc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,3,0,0,0,1,1399.875441,7.244138540930935
CCN(c1ccc2c(c1)OCO2)C1OC(=O)c2ccccc21,3,0,0,0,1,589.9801558,6.380088902096833
O=C1NCNC1(c1ccccc1)c1ccccc1,4,0,0,0,0,2399.89928,7.7831820487887455
CCN(CC)CCOC(=O)C(C)(C)N(C(=O)c1ccccc1)c1ccc(Cl)cc1,3,0,0,0,1,932.8903531,6.838287673148094
OC(c1ccccc1)(c1ccccc1)C1CN2CCC1CC2,2,0,0,1,1,377.5535942,5.933712530002824
COc1ccc(=O)n(C(CN2CCCCC2)c2ccccc2)n1,4,0,0,0,0,2499.992024,7.8240428204512025
COc1ccc(CCNc2ccncc2N)cc1OC,3,0,0,0,1,948.979169,6.855386847894829
COc1cc(OP(=S)(OC)OC)ccc1C#N,3,0,0,0,1,1799.999998,7.495541942773145
CC(C)C(=O)Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N,2,0,0,1,1,237.0305989,5.4681892420839455
CCCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(CC=O)CC(C)C(O)C=CC=CCC(C)OC(=O)CC(O)C3OC)C(O)C2N(C)C)CC1(C)O,0,1,1,1,1,0.999945591,-5.441048022330989e-05
CCCCCCCCSCCCCCN1CCSC1,3,0,0,0,1,525.0328575,6.263460846347505
CCOC1CCC(=O)N1C(=O)c1cccc(C(F)(F)F)c1,3,0,0,0,1,999.9867228,6.907742001693994
CCOC(=O)C(C(=O)OCC)=C1SCC(OC(=O)CCC(=O)O)S1,3,0,0,0,1,999.936579,6.90769185597094
O=C1NCCCC1N1C(=O)c2ccccc2C1=O,3,0,0,0,1,1350.0,7.2078598714324755
O=[N+]([O-])OCCOCCOCCO[N+](=O)[O-],3,0,0,0,1,1866.015539,7.5315607088109875
COc1cccc(N2CCN(C3CCC(=O)N3)CC2)c1,2,0,0,1,1,99.99927373,4.605162923261718
CCCCCN(CCCCC)C(=N)c1ccc(OCC)c2ccccc12,2,0,0,1,1,220.9763127,5.398055513420373
O=P(Cc1ccccc1)(Cc1ccccc1)Cc1ccccc1,4,0,0,0,0,2000.174796,7.6009898537230995
COC(=O)C1CCC(=N)N1Cc1ccc(OC)cc1,3,0,0,0,1,1312.954949,7.180035562213762
COC(=O)CC1C2(C)C3=C(C)C(c4ccoc4)CC3OC2C2OC(=O)C3(C)C=CC(=O)C1(C)C23,3,0,0,0,1,599.9614169,6.396865347981814
CN1CCN(CC(Cc2ccccc2)C(O)(c2ccccc2)C2CCCCC2)CC1,3,0,0,0,1,1999.931138,7.600868027949322
CC(C)(C)NC(=O)NC1Cc2ccccc2Sc2ccc(Cl)cc21,4,0,0,0,0,2499.93073,7.824018302472418
NCCOCC(N)C(=O)O,3,0,0,0,1,1549.979076,7.345996710467337
CCC(=O)N(c1ccccc1)C(C)C(=O)N(CC)CC,3,0,0,0,1,639.9768428,6.461431992574092
CCCCC(C)CC(O)C=CC1C(O)CC(=O)C1CC(=O)CCCCC(=O)OC,1,0,1,1,1,34.99565218,3.555223830344473
CC(=O)N(C(C)=O)c1nc(-c2ccc([N+](=O)[O-])o2)nn1C,3,0,0,0,1,1460.004979,7.28619512497054
CCCCc1ncccc1NC(=O)SCc1ccc(Cl)c(Cl)c1,3,0,0,0,1,599.972381,6.39688362248999
COc1ccc(-c2nnc(NC(=N)N=C(N)NS(=O)(=O)c3ccc(NC(C)=O)c(C)c3)s2)cc1,4,0,0,0,0,2000.071628,7.600938272900776
Cc1ccc(CNN)cc1,2,0,0,1,1,149.9911894,5.010576555037818
CC(C)(CN)Oc1ccc(Cl)cc1,2,0,0,1,1,299.9984978,5.703777467310331
CCOP(=S)(OCC)SCC1(C)SCCS1,1,0,1,1,1,21.00059341,3.0445506949432315
ClC1=C(N2CCN(Cc3ccccc3)CC2)c2ccccc2Oc2ccccc21,3,0,0,0,1,1999.875907,7.600840411117119
COC(=O)c1[nH]c(-c2ccccc2)c(N)c1C(=O)OC,3,0,0,0,1,999.9781246,6.907733403342867
COc1c(CC(=O)O)ccc2c1cnn2-c1ccccc1,3,0,0,0,1,1409.955048,7.251313102012945
CCn1nc(-c2ccc(N(C)C)cc2)c(-c2ccc(N(C)C)cc2)nc1=O,3,0,0,0,1,562.0541181,6.331598140809174
CC(C)(SC1=NC(=O)CC(c2ccccc2)N1)C(=O)O,3,0,0,0,1,700.0000003,6.551080335471976
COc1nnc(-c2ccccn2)c(-c2ccccn2)n1,2,0,0,1,1,299.9932144,5.703759855733728
CCN(CC)C(C)C(=O)NC(=O)C(C)NC(C)(C)c1ccccc1,3,0,0,0,1,660.0474997,6.4923118016732335
O=S(=O)(O)c1ccc(O)cc1,4,0,0,0,0,6400.110234,8.764070493261931
O=C1NCCN2CCCCC12,3,0,0,0,1,1999.961094,7.600883006352871
Cc1noc(C)c1N(C(=N)N)C(=N)N,3,0,0,0,1,1499.969422,7.313200001549184
O=C1c2ccccc2-c2c(Cl)cc3c4ccc5c6c(c(Cl)cc(c7ccc1c2c73)c64)-c1ccccc1C5=O,4,0,0,0,0,6700.12752,8.809881838033757
CC1=CC(O)CC(=O)Cc2nc(co2)C(=O)NC(C)C(=O)OC(C(C)C)C(C)C=CC(=O)NCC=C1,2,0,0,1,1,179.0071375,5.187425679347472
O=C(O)c1cc(=O)c2c3nc4ccccc4oc-3cc(=O)c2[nH]1,4,0,0,0,0,9999.708037,9.210311175249963
COc1ccccc1OCC1N(C(=O)CS(C)=O)CCS1=O,3,0,0,0,1,999.8784176,6.907633689190398
CCOC(=O)CC(=O)N1CCS(=O)C1COc1ccccc1OC,3,0,0,0,1,999.9662365,6.907721514912137
CC=C(C)C=CC=CC(OC)C(C)C(OC)C(C)CCc1oc2c(O)c(OC)cc(OC)c2c(=O)c1C,1,0,1,1,1,29.99656084,3.4010827364239744
CCN(CC)CCN(CCN(CC)CC)n1cc(-c2ccc(Cl)cc2)c2cc(F)ccc21,3,0,0,0,1,839.9030175,6.733286429814734
O=C(OCCCCCCc1ccc(OCc2ccc(Cl)cc2)cc1)c1cccnc1,4,0,0,0,0,3999.622589,8.293955282900527
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,3,0,0,0,1,999.8838205,6.907639092732776
CSCC(=O)N1CCSC1COc1ccccc1O,3,0,0,0,1,999.9432222,6.907698499570217
CCCCc1c(OC(=O)N2CCN(C)CC2)n(-c2ccccc2)n(-c2ccccc2)c1=O,3,0,0,0,1,899.9171529,6.802302706753902
CC(=O)Nc1ccccc1C(=O)C(=O)NNC(=O)CN(C)C,4,0,0,0,0,2266.985197,7.7262061207111765
CC(=O)COc1ccc(C(=O)CCl)c2ccccc12,4,0,0,0,0,6899.775582,8.839244165708596
O=C(Sc1ccccc1)c1ccc2ccccc2c1,3,0,0,0,1,1999.629279,7.600717081860702
O=C(O[Zn]OC(=O)C(O)C(O)C(O)C(O)CO)C(O)C(O)C(O)C(O)CO,3,0,0,0,1,1295.707112,7.166811857544607
Cc1cccc2[nH]c(C(C#N)=Cc3ccccc3Cl)nc12,3,0,0,0,1,1999.611922,7.60070840171408
CC1(c2ccc(Br)cc2)OCC(COC(N)=O)O1,3,0,0,0,1,1999.993675,7.600899297037081
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(NC(C)=O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(COCOCCOC)=CC(C(=O)O1)C34O)O2,3,0,0,0,1,559.9736014,6.32788964226091
COc1ccc2c(c1)CCC(n1ccnc1)=C2,2,0,0,1,1,199.9920453,5.29827759225705
CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)C(=O)C(C)C1,4,0,0,0,0,2149.993186,7.673219951814361
O=C(O)Cn1c(=O)oc2cc(C(=O)c3ccccc3)ccc21,4,0,0,0,0,5999.878895,8.699494563839822
CCN(c1ccccc1)c1cc(=O)nc2sccn12,2,0,0,1,1,221.9959092,5.402658954675473
CC(C)N(CCO)C(C)C,3,0,0,0,1,769.9681916,6.646349204384075
O=C(CCN1CCN(c2ccccn2)CC1)Nc1ccc([N+](=O)[O-])cc1,2,0,0,1,1,362.0020371,5.891649839158004
CSC(=NOC(=O)N(C)S(=O)OC1C2OC(C)(C)OC2COC12COC(C)(C)O2)C(=O)N(C)C,1,0,1,1,1,49.99980972,3.9120191998209046
CCN(CC)CCCN(C(C)=O)c1ccsc1NC(C)=O,3,0,0,0,1,999.8362495,6.90759151507356
Cc1ccc(-c2n[nH]cc2N)cc1,2,0,0,1,1,499.974021,6.214556139072328
COc1ccc(SCC(O)(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,2,0,0,1,1,499.9535835,6.214515261112942
CN(C)c1oc2ccc3ccccc3c2c(=O)c1CN1CCOCC1,3,0,0,0,1,799.9834517,6.684591042078982
C=CC=Cn1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)nc1=O,3,0,0,0,1,999.9972328,6.907752511778308
CC(=O)COc1nn(-c2cccc(C(F)(F)F)c2)c2ncccc12,3,0,0,0,1,999.9850882,6.907740367070955
Cc1[nH]nc(C(=O)NNc2cc(Cl)ccc2Cl)c1[N+](=O)[O-],3,0,0,0,1,999.9666809,6.907721959327043
CCOC(=O)Cc1nnc2ccccc2n1,2,0,0,1,1,499.9815866,6.214571270944068
CCN(CC)c1nc(NC(=O)c2cccnc2)nc(-c2ccc(Cl)c(Cl)c2)n1,3,0,0,0,1,2000.0,7.600902459542082
NC(=S)N/N=C\c1ncccc1O,3,0,0,0,1,929.9763042,6.8351591064678585
O=C(O)c1ccccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O,4,0,0,0,0,21802.45894,9.989778037829101
CN1CCN(C2=NC(=O)C(c3ccccc3)S2)CC1,2,0,0,1,1,99.99745811,4.605144766765026
c1ccc2nc(SCCCCCN3CCSC3)ccc2c1,3,0,0,0,1,599.9792789,6.396895119453127
CCOC(=O)Oc1c(OC)cc(C(=O)N2CCCC2)cc1OC,3,0,0,0,1,1849.971394,7.522925455250119
O=C1CCC(N2CCN(c3ccc(Cl)c(C(F)(F)F)c3)CC2)N1,2,0,0,1,1,99.99769956,4.6051471813234865
CCC(CC)NC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,2,0,0,1,1,299.9922941,5.703756787992968
CC(=O)N1CC2C(C3CCN2CC3)N(C(C)=O)c2ccccc21,2,0,0,1,1,499.9984041,6.214604906617098
COc1ccc(-c2nnc(SC3=NCCS3)nc2-c2ccc(OC)cc2)cc1,3,0,0,0,1,999.9415378,6.907696815073156
O=C(C=Cc1ccc(F)cc1)N1CCOCC1,3,0,0,0,1,1011.965587,6.919649844328518
OC1c2ccccc2C=Cc2ncccc21,3,0,0,0,1,999.9617671,6.907717045351241
CN(C)c1ccc(Nc2c([N+](=O)[O-])sc3ccccc23)cc1,3,0,0,0,1,1000.057438,6.907812715332638
