,TAID,Name,IUPAC Name,PubChem CID,SMILES,InChIKey,Toxicity Value,EPACategoryIndex,EPACategory
10,TOX-2066,methomyl,methyl N-(methylcarbamoyloxy)ethanimidothioate,4109,CNC(=O)ON=C(C)SC,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,23.69941556,1,10-50
11,TOX-2076,METRIBUZIN,"4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",30479,CSc1nnc(C(C)(C)C)c(=O)n1N,FOXFZRUHNHCZPX-UHFFFAOYSA-N,163.9969389,2,50-500
12,TOX-2089,,3-nitroaniline,7423,Nc1cccc([N+](=O)[O-])c1,XJCVRTZCHMZPBD-UHFFFAOYSA-N,561.9755871,3,500-2000
13,TOX-2234,MALEIC HYDRAZIDE,"1,2-dihydropyridazine-3,6-dione",21954,O=c1ccc(=O)[nH][nH]1,BGRDGMRNKXEXQD-UHFFFAOYSA-N,10000.17843,4,>2000
14,TOX-2579,,pyridin-4-amine,1727,Nc1ccncc1,NUKYPUAOHBNCPY-UHFFFAOYSA-N,7.649431033,0,<10
15,TOX-2643,,"1,2-dibromoethane",7839,BrCCBr,PAAZPARNPHGIKF-UHFFFAOYSA-N,129.9986161,2,50-500
16,TOX-3927,lactic acid,2-hydroxypropanoic acid,612,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,2250.049956,4,>2000
17,TOX-3942,Mit-C,"(11-amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl)methyl carbamate",351727,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,NWIBSHFKIJFRCO-UHFFFAOYSA-N,99.99940186,2,50-500
18,TOX-4004,CARBARYL,naphthalen-1-yl N-methylcarbamate,6129,CNC(=O)Oc1cccc2ccccc12,CVXBEEMKQHEXEN-UHFFFAOYSA-N,828.9794002,3,500-2000
19,TOX-4089,PHENTHOATE,ethyl 2-dimethoxyphosphinothioylsulfanyl-2-phenylacetate,17435,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,XAMUDJHXFNRLCY-UHFFFAOYSA-N,300.0262193,2,50-500
20,TOX-4113,TRICHLORFON,"2,2,2-trichloro-1-dimethoxyphosphorylethanol",5853,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,NFACJZMKEDPNKN-UHFFFAOYSA-N,73.10801204,2,50-500
21,TOX-4130,,"N-(1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl)acetamide",2833,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,IAKHMKGGTNLKSZ-UHFFFAOYSA-N,41.99547874,1,10-50
22,TOX-4226,Triethylenemelamine,"2,4,6-tris(aziridin-1-yl)-1,3,5-triazine",5799,C1CN1c1nc(N2CC2)nc(N2CC2)n1,IUCJMVBFZDHPDX-UHFFFAOYSA-N,132.9954414,2,50-500
23,TOX-4238,,"N,N,N',N'-tetramethylmethanediamine",5829,CN(C)CN(C)C,VGIVLIHKENZQHQ-UHFFFAOYSA-N,315.9969074,2,50-500
24,TOX-4247,APHOLATE,"2,2,4,4,6,6-hexakis(aziridin-1-yl)-1,3,5-triaza-2lambda5,4lambda5,6lambda5-triphosphacyclohexa-1,3,5-triene",5845,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,PXZAWHSJYIECNQ-UHFFFAOYSA-N,178.9958405,2,50-500
25,TOX-4249,cycloleucine,1-aminocyclopentane-1-carboxylic acid,2901,NC1(C(=O)O)CCCC1,NILQLFBWTXNUOE-UHFFFAOYSA-N,316.0024468,2,50-500
26,TOX-4273,,"2-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,4-triazine-3,5-dione",233502,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,WYXSYVWAUAUWLD-UHFFFAOYSA-N,315.9987114,2,50-500
27,TOX-4287,fenthion,dimethoxy-(3-methyl-4-methylsulfanylphenoxy)-sulfanylidene-lambda5-phosphane,3346,COP(=S)(OC)Oc1ccc(SC)c(C)c1,PNVJTZOFSHSLTO-UHFFFAOYSA-N,10.99861678,1,10-50
28,TOX-4304,parathion,diethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,991,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,4.039930651,0,<10
29,TOX-4308,COUMAPHOS,3-chloro-7-diethoxyphosphinothioyloxy-4-methylchromen-2-one,2871,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,BXNANOICGRISHX-UHFFFAOYSA-N,13.30106321,1,10-50
30,TOX-4318,propylene glycol,"propane-1,2-diol",1030,CC(O)CO,DNIAPMSPPWPWGF-UHFFFAOYSA-N,2079.863331,4,>2000
31,TOX-4351,dimethoate,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide,3082,CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV-UHFFFAOYSA-N,25.00403469,1,10-50
32,TOX-4353,ENDRIN,"3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",3048,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,DFBKLUNHFCTMDC-UHFFFAOYSA-N,6.736520049,0,<10
33,TOX-4362,Amitrole,"1H-1,2,4-triazol-5-amine",1639,Nc1nnc[nH]1,KLSJWNVTNUYHDU-UHFFFAOYSA-N,315.9924834,2,50-500
34,TOX-4367,phenylmercuric acetate,acetyloxy(phenyl)mercury,16682730,CC(=O)O[Hg]c1ccccc1,XEBWQGVWTUSTLN-UHFFFAOYSA-M,70.99999997,2,50-500
35,TOX-4374,dichlorvos,"2,2-dichloroethenyl dimethyl phosphate",3039,COP(=O)(OC)OC=C(Cl)Cl,OEBRKCOSUFCWJD-UHFFFAOYSA-N,22.0094024,1,10-50
36,TOX-4375,FLUOROACETIC ACID,2-fluoroacetic acid,5237,O=C(O)CF,QEWYKACRFQMRMB-UHFFFAOYSA-N,17.99953869,1,10-50
37,TOX-4407,METHYL METHANESULFONATE,methyl methanesulfonate,4156,COS(C)(=O)=O,MBABOKRGFJTBAE-UHFFFAOYSA-N,74.99727612,2,50-500
38,TOX-4409,,"4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de]pyrrolo[2,3-h]quinolin-14-one",5304,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,QMGVPVSNSZLJIA-UHFFFAOYSA-N,22.99869325,1,10-50
39,TOX-4461,,1-(4-aminophenyl)propan-1-one,6270,CCC(=O)c1ccc(N)cc1,FSWXOANXOQPCFF-UHFFFAOYSA-N,315.993646,2,50-500
40,TOX-4527,METHANESULFONIC ACID,methanesulfonic acid,6395,CS(=O)(=O)O,AFVFQIVMOAPDHO-UHFFFAOYSA-N,1000.031215,3,500-2000
41,TOX-4635,ACRYLAMIDE,prop-2-enamide,6579,C=CC(N)=O,HRPVXLWXLXDGHG-UHFFFAOYSA-N,186.0026168,2,50-500
42,TOX-4674,Chlorfenson,(4-chlorophenyl) 4-chlorobenzenesulfonate,6635,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,RZXLPPRPEOUENN-UHFFFAOYSA-N,4600.515889,4,>2000
43,TOX-4707,,"3-oxatricyclo[7.3.1.05,13]trideca-1(12),5,7,9(13),10-pentaene-2,4-dione",6693,O=C1OC(=O)c2cccc3cccc1c23,GRSMWKLPSNHDHA-UHFFFAOYSA-N,4099.855181,4,>2000
44,TOX-4797,,"10-methylacridin-10-ium-3,6-diamine",2016,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,XSIOKTWDEOJMGG-UHFFFAOYSA-O,99.99687899,2,50-500
45,TOX-4825,,6-chloro-7H-purine,5359277,Clc1ncnc2nc[nH]c12,ZKBQDFAWXLTYKS-UHFFFAOYSA-N,316.0000003,2,50-500
46,TOX-4869,,2-nitroaniline,6946,Nc1ccccc1[N+](=O)[O-],DPJCXCZTLWNFOH-UHFFFAOYSA-N,749.9674208,3,500-2000
47,TOX-5084,,2-aminophenol,5801,Nc1ccccc1O,CDAWCLOXVUBKRW-UHFFFAOYSA-N,316.0057916,2,50-500
48,TOX-5145,DICHLOFENTHION,"(2,4-dichlorophenoxy)-diethoxy-sulfanylidene-lambda5-phosphane",7328,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,WGOWCPGHOCIHBW-UHFFFAOYSA-N,315.9919787,2,50-500
49,TOX-5211,picolinic acid,pyridine-2-carboxylic acid,1018,O=C(O)c1ccccn1,SIOXPEMLGUPBBT-UHFFFAOYSA-N,561.9954356,3,500-2000
50,TOX-5256,,4-nitroaniline,7475,Nc1ccc([N+](=O)[O-])cc1,TYMLOMAKGOJONV-UHFFFAOYSA-N,999.9565619,3,500-2000
51,TOX-5267,,"1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine",7490,CN(C)c1ccc(N(C)C)cc1,CJAOGUFAAWZWNI-UHFFFAOYSA-N,41.99948859,1,10-50
52,TOX-5306,Anilazine,"4,6-dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine",7541,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,IMHBYKMAHXWHRP-UHFFFAOYSA-N,2499.764085,4,>2000
53,TOX-5455,,4-methylsulfanylaniline,66038,CSc1ccc(N)cc1,YKFROQCFVXOUPW-UHFFFAOYSA-N,561.9878902,3,500-2000
54,TOX-5521,,4-chloroaniline,7812,Nc1ccc(Cl)cc1,QSNSCYSYFYORTR-UHFFFAOYSA-N,236.9925689,2,50-500
55,TOX-5522,p-Toluidine,4-methylaniline,7813,Cc1ccc(N)cc1,RZXMPPFPUUCRFN-UHFFFAOYSA-N,236.9867294,2,50-500
56,TOX-5614,,"5-methyl-1,3,4-thiadiazol-2-amine",66949,Cc1nnc(N)s1,HMPUHXCGUHDVBI-UHFFFAOYSA-N,315.9972559,2,50-500
57,TOX-5652,,3-methylpyridine,7970,Cc1cccnc1,ITQTTZVARXURQS-UHFFFAOYSA-N,1000.010737,3,500-2000
58,TOX-5703,,"N,N,N',N'-tetramethylethane-1,2-diamine",8037,CN(C)CCN(C)C,KWYHDKDOAIKMQN-UHFFFAOYSA-N,315.978246,2,50-500
59,TOX-5746,,"N,N,N',N'-tetramethylpropane-1,3-diamine",8084,CN(C)CCCN(C)C,DMQSHEKGGUOYJS-UHFFFAOYSA-N,315.9878679,2,50-500
60,TOX-5779,,"N,N,N',N'-tetramethylbutane-1,4-diamine",66074,CN(C)CCCCN(C)C,VEAZEPMQWHPHAG-UHFFFAOYSA-N,315.9956192,2,50-500
61,TOX-5780,,"N,N,N',N'-tetramethylbut-2-yne-1,4-diamine",66075,CN(C)CC#CCN(C)C,FFDFQBBNDKGBGI-UHFFFAOYSA-N,316.0000003,2,50-500
62,TOX-5843,propoxur,(2-propan-2-yloxyphenyl) N-methylcarbamate,4944,CNC(=O)Oc1ccccc1OC(C)C,ISRUGXGCCGIOQO-UHFFFAOYSA-N,27.99933091,1,10-50
63,TOX-5846,METHYLMERCURY CHLORIDE,chloro(methyl)mercury,409301,C[Hg]Cl,BABMCXWQNSQAOC-UHFFFAOYSA-M,26.00020708,1,10-50
64,TOX-5868,FENSULFOTHION,diethoxy-(4-methylsulfinylphenoxy)-sulfanylidene-lambda5-phosphane,8292,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,XDNBJTQLKCIJBV-UHFFFAOYSA-N,1.200151771,0,<10
65,TOX-5878,,[(2-methyl-2-methylsulfanylpropylidene)amino] N-methylcarbamate,2086,CNC(=O)ON=CC(C)(C)SC,QGLZXHRNAYXIBU-UHFFFAOYSA-N,2.000021025,0,<10
66,TOX-5909,cinchonine,(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-quinolin-4-ylmethanol,2757,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,KMPWYEUPVWOPIM-UHFFFAOYSA-N,316.0021465,2,50-500
67,TOX-5931,PYRIDAPHENTHION,6-diethoxyphosphinothioyloxy-2-phenylpyridazin-3-one,8381,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,CXJSOEPQXUCJSA-UHFFFAOYSA-N,68.399799,2,50-500
68,TOX-5967,Dichlorprop,"2-(2,4-dichlorophenoxy)propanoic acid",8427,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,MZHCENGPTKEIGP-UHFFFAOYSA-N,249.9936185,2,50-500
69,TOX-5989,,"N,N'-dimethylethanedithioamide",1899472,CNC(=S)C(=S)NC,MQLIZYQZJMPNFI-UHFFFAOYSA-N,17.80528276,1,10-50
70,TOX-6038,FENITROTHION,dimethoxy-(3-methyl-4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,31200,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,56.20040538,2,50-500
71,TOX-6375,,[4-(dimethylamino)-4-oxobut-2-en-2-yl] dimethyl phosphate,8854,COP(=O)(OC)OC(C)=CC(=O)N(C)C,VEENJGZXVHKXNB-UHFFFAOYSA-N,3.99996627,0,<10
72,TOX-6414,SODIUM CYANIDE,sodium;cyanide,8929,N#C[Na],MNWBNISUBARLIT-UHFFFAOYSA-N,8.499826554,0,<10
73,TOX-6456,,"3H-1,3-benzothiazole-2-thione",697993,S=c1[nH]c2ccccc2s1,YXIWHUQXZSMYRE-UHFFFAOYSA-N,2150.539887,4,>2000
74,TOX-6569,,"1,3,5-triazine",9262,c1ncncn1,JIHQDMXYYFUGFV-UHFFFAOYSA-N,237.0058463,2,50-500
75,TOX-6576,ISOBENZAN,"1,3,5,7,8,9,10,10-octachloro-4-oxatricyclo[5.2.1.02,6]dec-8-ene",9271,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,LRWHHSXTGZSMSN-UHFFFAOYSA-N,4.209447874,0,<10
76,TOX-6577,Thionazin,diethoxy-pyrazin-2-yloxy-sulfanylidene-lambda5-phosphane,9272,CCOP(=S)(OCC)Oc1cnccn1,IRVDMKJLOCGUBJ-UHFFFAOYSA-N,3.159949081,0,<10
77,TOX-6579,phorate,diethoxy-(ethylsulfanylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,4790,CCOP(=S)(OCC)SCSCC,BULVZWIRKLYCBC-UHFFFAOYSA-N,7.000376366,0,<10
78,TOX-6581,disulfoton,diethoxy-(2-ethylsulfanylethylsulfanyl)-sulfanylidene-lambda5-phosphane,3118,CCOP(=S)(OCC)SCCSCC,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,11.9994315,1,10-50
79,TOX-6599,,1-dimethoxyphosphorylsulfanyl-2-ethylsulfinylethane,4618,CCS(=O)CCSP(=O)(OC)OC,PMCVMORKVPSKHZ-UHFFFAOYSA-N,84.00341055,2,50-500
80,TOX-6611,,"2-[(5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydroisochromene-7-carbonyl)amino]-3-phenylpropanoic acid",4580,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,RWQKHEORZBHNRI-UHFFFAOYSA-N,16.49926453,1,10-50
81,TOX-6659,Mexacarbate,"[4-(dimethylamino)-3,5-dimethylphenyl] N-methylcarbamate",9414,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,YNEVBPNZHBAYOA-UHFFFAOYSA-N,2.369914707,0,<10
82,TOX-6692,Trichloronat,"ethoxy-ethyl-sulfanylidene-(2,4,5-trichlorophenoxy)-lambda5-phosphane",9477,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,ANIAQSUBRGXWLS-UHFFFAOYSA-N,23.69971585,1,10-50
83,TOX-6734,diazinon,diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-lambda5-phosphane,3017,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,FHIVAFMUCKRCQO-UHFFFAOYSA-N,4.209972336,0,<10
84,TOX-6796,,1-pyridin-3-ylethanone,9589,CC(=O)c1cccnc1,WEGYGNROSJDEIW-UHFFFAOYSA-N,422.0034839,2,50-500
85,TOX-7116,,"2H-1,2,4-triazine-3,5-dione",68037,O=c1cn[nH]c(=O)[nH]1,SSPYSWLZOPCOLO-UHFFFAOYSA-N,100.0035375,2,50-500
86,TOX-7118,,pyridin-3-amine,10009,Nc1cccnc1,CUYKNJBYIJFRCU-UHFFFAOYSA-N,177.9867612,2,50-500
87,TOX-7217,Chlorfenvinphos,"[2-chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate",10107,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,FSAVDKDHPDSCTO-UHFFFAOYSA-N,148.0111132,2,50-500
88,TOX-7392,,pyridin-2-amine,10439,Nc1ccccn1,ICSNLGPSRYBMBD-UHFFFAOYSA-N,132.9901079,2,50-500
89,TOX-7458,TRIMETHYL PHOSPHATE,trimethyl phosphate,10541,COP(=O)(OC)OC,WVLBCYQITXONBZ-UHFFFAOYSA-N,749.9732282,3,500-2000
90,TOX-7629,m-Anisidine,3-methoxyaniline,10824,COc1cccc(N)c1,NCBZRJODKRCREW-UHFFFAOYSA-N,561.9771832,3,500-2000
91,TOX-7731,TEPA,1-[bis(aziridin-1-yl)phosphoryl]aziridine,11016,O=P(N1CC1)(N1CC1)N1CC1,FYAMXEPQQLNQDM-UHFFFAOYSA-N,236.9917876,2,50-500
92,TOX-7800,trichlormethine,"2-chloro-N,N-bis(2-chloroethyl)ethanamine",5561,ClCCN(CCCl)CCCl,FDAYLTPAFBGXAB-UHFFFAOYSA-N,132.9817921,2,50-500
93,TOX-7803,,"6-[2-(5-nitrofuran-2-yl)ethenyl]-1,2,4-triazin-3-amine",68931,Nc1ncc(C=Cc2ccc([N+](=O)[O-])o2)nn1,RWOLIGKRDWLZSV-UHFFFAOYSA-N,315.9905137,2,50-500
94,TOX-7937,,"1,2,4-triazol-4-amine",11432,Nn1cnnc1,FMCUPJKTGNBGEC-UHFFFAOYSA-N,315.9924834,2,50-500
95,TOX-7946,,pyridin-2-ylmethanol,11474,OCc1ccccn1,SHNUBALDGXWUJI-UHFFFAOYSA-N,1000.018327,3,500-2000
96,TOX-7947,,3-ethylaniline,11475,CCc1cccc(N)c1,AMKPQMFZCBTTAT-UHFFFAOYSA-N,749.9814335,3,500-2000
97,TOX-7959,,4-ethylaniline,11504,CCc1ccc(N)cc1,HRXZRAXKKNUKRF-UHFFFAOYSA-N,421.9895527,2,50-500
98,TOX-7984,,3-aminophenol,11568,Nc1cccc(O)c1,CWLKGDAVCFYWJK-UHFFFAOYSA-N,750.0137445,3,500-2000
99,TOX-8059,METHYL CARBAMATE,methyl carbamate,11722,COC(N)=O,GTCAXTIRRLKXRU-UHFFFAOYSA-N,21.00083926,1,10-50
100,TOX-8185,,2-chloro-5-methylphenol,12008,Cc1ccc(Cl)c(O)c1,SMFHPCZZAAMJJO-UHFFFAOYSA-N,561.980293,3,500-2000
101,TOX-8292,p-Phenylenediamine,"benzene-1,4-diamine",7814,Nc1ccc(N)cc1,CBCKQZAAMUWICA-UHFFFAOYSA-N,99.99630125,2,50-500
102,TOX-8331,,4-chloropyridine,12288,Clc1ccncc1,PVMNPAUTCMBOMO-UHFFFAOYSA-N,599.9630108,3,500-2000
103,TOX-8417,,pyridine-3-sulfonic acid,69468,O=S(=O)(O)c1cccnc1,DVECLMOWYVDJRM-UHFFFAOYSA-N,316.0079411,2,50-500
104,TOX-8447,FLUOROACETAMIDE,2-fluoroacetamide,12542,NC(=O)CF,FVTWJXMFYOXOKK-UHFFFAOYSA-N,13.0003374,1,10-50
105,TOX-8484,P-TOLUENESULFONIC ACID,4-methylbenzenesulfonic acid,6101,Cc1ccc(S(=O)(=O)O)cc1,JOXIMZWYDAKGHI-UHFFFAOYSA-N,315.9908252,2,50-500
106,TOX-8509,CARBANOLATE,"(2-chloro-4,5-dimethylphenyl) N-methylcarbamate",522251,CNC(=O)Oc1cc(C)c(C)cc1Cl,QRTXZGIQTYDABO-UHFFFAOYSA-N,7.499859595,0,<10
107,TOX-8539,HEXAMETHYLPHOSPHORAMIDE,N-[bis(dimethylamino)phosphoryl]-N-methylmethanamine,12679,CN(C)P(=O)(N(C)C)N(C)C,GNOIPBMMFNIUFM-UHFFFAOYSA-N,999.9776797,3,500-2000
108,TOX-8596,,1-hydroxypyridin-1-ium,3877978,O[n+]1ccccc1,DEINLRGVTJVCOS-UHFFFAOYSA-N,1000.010404,3,500-2000
109,TOX-8643,,"1-N,1-N,2-N,2-N-tetramethylbenzene-1,2-diamine",12803,CN(C)c1ccccc1N(C)C,CJVYYDCBKKKIPD-UHFFFAOYSA-N,315.9961521,2,50-500
110,TOX-8771,BENSULIDE,N-[2-di(propan-2-yloxy)phosphinothioylsulfanylethyl]benzenesulfonamide,12932,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,RRNIZKPFKNDSRS-UHFFFAOYSA-N,1385.916324,3,500-2000
111,TOX-8891,CARBOPHENOTHION,(4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane,13081,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,VEDTXTNSFWUXGQ-UHFFFAOYSA-N,56.80414144,2,50-500
112,TOX-8964,Trimethylolpropane phosphite,"4-ethyl-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane",13210,CCC12COP(OC1)OC2,QRUSNTDXJQBKBI-UHFFFAOYSA-N,9.999691598,0,<10
113,TOX-9115,,4-aminobenzonitrile,13396,N#Cc1ccc(N)cc1,YBAZINRZQSAIAY-UHFFFAOYSA-N,23.70020063,1,10-50
114,TOX-9195,,tricyclohexylstannyl acetate,16684298,CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,FJEZLYTXQIEUAT-UHFFFAOYSA-M,104.4312384,2,50-500
115,TOX-9289,,"6-amino-1H-1,3,5-triazin-2-one",19956,Nc1nc(=O)nc[nH]1,MFEFTTYGMZOIKO-UHFFFAOYSA-N,315.9943614,2,50-500
116,TOX-9347,Fonofos,ethoxy-ethyl-phenylsulfanyl-sulfanylidene-lambda5-phosphane,13676,CCOP(=S)(CC)Sc1ccccc1,KVGLBTYUCJYMND-UHFFFAOYSA-N,11.99819759,1,10-50
117,TOX-9356,Phosfolan,"N-diethoxyphosphoryl-1,3-dithiolan-2-imine",13689,CCOP(=O)(N=C1SCCS1)OCC,ILBONRFSLATCRE-UHFFFAOYSA-N,23.69990716,1,10-50
118,TOX-9370,MEPHOSFOLAN,"N-diethoxyphosphoryl-4-methyl-1,3-dithiolan-2-imine",13707,CCOP(=O)(N=C1SCC(C)S1)OCC,LTQSAUHRSCMPLD-UHFFFAOYSA-N,12.79866929,1,10-50
119,TOX-9510,Chlormequat,2-chloroethyl(trimethyl)azanium,13837,C[N+](C)(C)CCCl,JUZXDNPBRPUIOR-UHFFFAOYSA-N,555.004526,3,500-2000
120,TOX-9524,,1-hydroxy-4-methylpyridin-1-ium,3877972,Cc1cc[n+](O)cc1,KBWCJCSTDQPGLN-UHFFFAOYSA-N,749.9591415,3,500-2000
121,TOX-9536,,"4-ethyl-2,6,7-trioxa-1lambda5-phosphabicyclo[2.2.2]octane 1-oxide",13869,CCC12COP(=O)(OC1)OC2,BYEFHDZWRALTEN-UHFFFAOYSA-N,14.99966316,1,10-50
122,TOX-9540,,"[5-(dimethylamino)-1,2,4-dithiazol-3-ylidene]-dimethylazanium",13876,CN(C)c1nc(=[N+](C)C)ss1,KCBRYAXBJXMPSI-UHFFFAOYSA-N,23.99785618,1,10-50
123,TOX-9641,,"5,6-diphenyl-3-pyridin-2-yl-1,2,4-triazine",70588,c1ccc(-c2nnc(-c3ccccn3)nc2-c2ccccc2)cc1,OTMYLOBWDNFTLO-UHFFFAOYSA-N,316.0407266,2,50-500
124,TOX-9719,glyphosate,2-(phosphonomethylamino)acetic acid,3496,O=C(O)CNCP(=O)(O)O,XDDAORKBJWWYJS-UHFFFAOYSA-N,4639.917671,4,>2000
125,TOX-9724,,"1,3,4-thiadiazolidine-2,5-dithione",2723630,S=c1[nH][nH]c(=S)s1,BIGYLAKFCGVRAN-UHFFFAOYSA-N,316.0988469,2,50-500
126,TOX-9746,MOBAM,1-benzothiophen-4-yl N-methylcarbamate,14119,CNC(=O)Oc1cccc2sccc12,BOTUVXISJHKZKJ-UHFFFAOYSA-N,41.99918938,1,10-50
